Supplementary Table 2. GAS strains used in this study.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Assembly statistics,,,,,,,Mapping statistics (subsampled),,,,
NGAS320,SRR1105912,Canada,North America,D4,ST853,24,2011,83,emm83.1,Synovial Fluid,iGAS,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105912,1336632,101,33,34.7,73
NGAS322,SRR1105914,Canada,North America,E4,ST188,95,2011,114,emm114.0,Blood,iGAS,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105914,1336632,101,33,34.8,73
NGAS323,SRR1105915,Canada,North America,E3,ST334,7,2011,82,emm82.0,Soft Tissue,ND,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105915,1336632,101,33,34.5,73
NGAS325,SRR1105916,Canada,North America,E4,ST1069,30,2011,22,emm22.0,Blood,iGAS,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105916,1336632,101,33,34.6,73
NGAS328,SRR1105917,Canada,North America,E3,ST334,7,2011,82,emm82.0,Soft Tissue,ND,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105917,1336632,101,33,34.6,73
NGAS330,SRR1105918,Canada,North America,D4,ST579,28,2011,41,emm41.2,Blood,iGAS,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105918,1336632,101,33,34.7,73
NGAS332,SRR1105919,Canada,North America,E3,ST334,7,2011,82,emm82.0,Soft Tissue,ND,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105919,1336632,101,33,34.8,73
NGAS334,SRR1105920,Canada,North America,D2,ST135,203,2010-2013,115,emm115.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105920,1336632,101,33,34.6,73
NGAS335,SRR1105921,Canada,North America,E3,ST62,4,2011,87,emm87.0,Blood,iGAS,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105921,1336632,101,33,35,73
NGAS336,SRR1105922,Canada,North America,A-C3,ST28,1,2011,1,emm1.0,Blood,iGAS,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105922,1336632,101,33,35.1,73
NGAS338,SRR1105924,Canada,North America,E3,ST334,7,2011,82,emm82.0,Blood,iGAS,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105924,1336632,101,33,34.8,73
NGAS339,SRR1105925,Canada,North America,E6,ST172,22,2011,59,emm59.0,Soft Tissue,ND,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105925,1336632,101,33,34.5,73
NGAS340,SRR1105926,Canada,North America,E3,ST167,57,2011,118,emm118.0,Soft Tissue,ND,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105926,1336632,101,33,34.4,73
NGAS341,SRR1105927,Canada,North America,E3,ST62,4,2011,87,emm87.0,Blood,iGAS,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105927,1336632,101,33,35.1,73
NGAS344,SRR1105928,Canada,North America,E6,ST49,82,2011,75,emm75.0,Blood,iGAS,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105928,1336632,101,33,34.9,73
NGAS345,SRR1105929,Canada,North America,E3,ST334,7,2011,82,emm82.0,Soft Tissue,ND,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105929,1336632,101,33,34.9,73
NGAS346,SRR1105930,Canada,North America,D4,ST579,28,2011,41,emm41.2,Soft Tissue,ND,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105930,1336632,101,33,34.8,73
NGAS347,SRR1105931,Canada,North America,E3,ST334,7,2011,82,emm82.0,Soft Tissue,ND,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105931,1336632,101,33,34.9,73
NGAS353,SRR1105932,Canada,North America,E3,ST176,16,2010-2013,58,emm58.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105932,1336632,101,33,35,73
NGAS358,SRR1105933,Canada,North America,E4,ST53,65,2010-2013,169,emm169.3,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105933,1336632,101,33,34.6,73
NGAS364,SRR1105934,Canada,North America,E4,ST63,46,2010-2013,77,emm77.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105934,1336632,101,33,34.9,73
NGAS367,SRR1105935,Canada,North America,E4,ST53,65,2010-2013,169,emm169.3,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105935,1336632,101,33,34.6,73
NGAS372,SRR1105936,Canada,North America,E2,ST82,33,2010-2013,92,emm92.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105936,1336632,101,33,35,73
NGAS401,SRR1105937,Canada,North America,E4,ST895,160,2010-2013,102,emm102.2,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105937,1336632,101,33,35,73
NGAS408,SRR1105938,Canada,North America,A-C3,ST28,1,2010-2013,1,emm1.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105938,1336632,101,33,34.7,73
NGAS413,SRR1105939,Canada,North America,A-C3,ST28,1,2010-2013,1,emm1.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105939,1336632,101,33,35.3,73
NGAS419,SRR1105940,Canada,North America,A-C5,ST15,2,2010-2013,3,emm3.1,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105940,1336632,101,33,35,73
NGAS425,SRR1105941,Canada,North America,A-C3,ST28,1,2010-2013,1,emm1.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105941,1336632,101,33,34.8,73
NGAS426,SRR1105942,Canada,North America,A-C5,ST15,2,2010-2013,3,emm3.1,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105942,1336632,101,33,35.2,73
NGAS428,SRR1105943,Canada,North America,M5,ST99,36,2010-2013,5,emm5.14,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105943,1336632,101,33,34.9,73
NGAS438,SRR1105944,Canada,North America,E4,ST331,66,2010-2013,73,emm73.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105944,1336632,101,33,35.2,73
NGAS440,SRR1105945,Canada,North America,E3,ST12,8,2010-2013,9,emm9.2,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105945,1336632,101,33,35.4,73
NGAS447,SRR1105946,Canada,North America,A-C4,ST36,0,2010-2013,12,emm12.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105946,1336632,101,33,34.9,73
NGAS450,SRR1105947,Canada,North America,A-C3,ST28,1,2010-2013,1,emm1.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105947,1336632,101,33,35,73
NGAS465,SRR1105948,Canada,North America,M29,ST12,8,2010-2013,29,emm29.1,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105948,1336632,101,33,35,73
NGAS473,SRR1105949,Canada,North America,E3,ST36,0,2010-2013,82,emm82.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105949,1336632,101,33,35.1,73
NGAS474,SRR1105950,Canada,North America,E3,ST62,4,2010-2013,87,emm87.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105950,1336632,101,33,35.2,73
NGAS481,SRR1105951,Canada,North America,E3,ST334,7,2010-2013,82,emm82.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105951,1336632,101,33,34.4,73
NGAS490,SRR1105952,Canada,North America,E3,ST62,4,2010-2013,87,emm87.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105952,1336632,101,33,34.3,73
NGAS493,SRR1105953,Canada,North America,E1,ST39,14,2010-2013,4,emm4.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105953,1336632,101,33,34,73
NGAS495,SRR1105954,Canada,North America,E3,ST334,7,2010-2013,82,emm82.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105954,1336632,101,33,34.8,73
NGAS500,SRR1105955,Canada,North America,E4,ST331,66,2010-2013,73,emm73.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105955,1336632,101,33,34.7,73
NGAS501,SRR1105956,Canada,North America,E3,ST334,7,2010-2013,82,emm82.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105956,1336632,101,33,34.8,73
NGAS508,SRR1105958,Canada,North America,E3,ST62,4,2010-2013,87,emm87.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105958,1336632,101,33,34.9,73
NGAS510,SRR1105959,Canada,North America,E3,ST891,31,2010-2013,9,emm9.2,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105959,1336632,101,33,34.7,73
NGAS516,SRR1105960,Canada,North America,E4,ST101,3,2010-2013,89,emm89.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105960,1336632,101,33,34.8,73
NGAS520,SRR1105961,Canada,North America,D4,ST5,24,2010-2013,83,emm83.1,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105961,1336632,101,33,35.1,73
NGAS524,SRR1105962,Canada,North America,E4,ST101,3,2010-2013,89,emm89.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105962,1336632,101,33,34.5,73
NGAS532,SRR1105963,Canada,North America,E6,ST403,5,2010-2013,11,emm11.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105963,1336632,101,33,34.6,73
NGAS535,SRR1105964,Canada,North America,D4,ST1077,290,2010-2013,192,emm192,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105964,1336632,101,33,33.9,73
NGAS549,SRR1105965,Canada,North America,E4,ST580,3,2010-2013,89,emm89.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105965,1336632,101,33,33.6,73
NGAS556,SRR1105966,Canada,North America,E3,ST62,4,2010-2013,87,emm87.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105966,1336632,101,33,34.6,73
NGAS565,SRR1105967,Canada,North America,E3,ST62,4,2010-2013,87,emm87.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105967,1336632,101,33,34.9,73
NGAS592,SRR1105968,Canada,North America,E3,ST334,7,2012,82,emm82.0,Soft Tissue,ND,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105968,1336632,101,33,34.6,73
NGAS594,SRR1105969,Canada,North America,E3,ST334,7,2012,82,emm82.0,Soft Tissue,ND,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105969,1336632,101,33,34.5,73
NGAS595,SRR1105970,Canada,North America,E4,ST101,3,2012,89,emm89.0,Soft Tissue,ND,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105970,1336632,101,33,34.7,73
NGAS596,SRR1105971,Canada,North America,E3,ST334,7,2012,82,emm82.0,Blood,iGAS,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105971,1336632,101,33,35.1,73
NGAS597,SRR1105972,Canada,North America,E3,ST334,7,2012,82,emm82.0,Blood,iGAS,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105972,1336632,101,33,34.6,73
NGAS599,SRR1105973,Canada,North America,E4,ST188,95,2012,114,emm114.1,Soft Tissue,ND,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105973,1336632,101,33,34.6,73
NGAS601,SRR1105974,Canada,North America,E3,ST334,7,2010-2013,82,emm82.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105974,1336632,101,33,34.7,73
NGAS603,SRR1105975,Canada,North America,M6,ST382,6,2012,6,emm6.0,Blood,iGAS,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105975,1336632,101,33,34.2,73
NGAS604,SRR1105976,Canada,North America,E6,ST49,82,2012,75,emm75.0,Blood,iGAS,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105976,1336632,101,33,34.4,73
NGAS605,SRR1105977,Canada,North America,E3,ST334,7,2012,82,emm82.0,Soft Tissue,ND,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105977,1336632,101,33,34.5,73
NGAS606,SRR1105978,Canada,North America,D4,ST538,141,2012,80,emm80.0,Blood,iGAS,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105978,1336632,101,33,34.4,73
NGAS608,SRR1105979,Canada,North America,E3,ST334,7,2012,82,emm82.0,Soft Tissue,ND,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105979,1336632,101,33,34.7,73
NGAS609,SRR1105980,Canada,North America,E3,ST334,7,2012,82,emm82.0,Blood,iGAS,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105980,1336632,101,33,34.2,73
NGAS610,SRR1105981,Canada,North America,E3,ST62,4,2012,87,emm87.0,Synovial Fluid,iGAS,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105981,1336632,101,33,34.5,73
NGAS612,SRR1105982,Canada,North America,E3,ST62,4,2012,87,emm87.0,Soft Tissue,ND,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105982,1336632,101,33,34.7,73
NGAS613,SRR1105983,Canada,North America,E3,ST334,7,2012,82,emm82.0,Blood,iGAS,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105983,1336632,101,33,34.3,73
NGAS615,SRR1105984,Canada,North America,E3,ST334,7,2012,82,emm82.0,Soft Tissue,ND,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105984,1336632,101,33,34.6,73
NGAS616,SRR1105985,Canada,North America,E4,ST1069,30,2012,22,emm22.0,Soft Tissue,ND,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105985,1336632,101,33,34.2,73
NGAS618,SRR1105986,Canada,North America,M6,ST382,6,2012,6,emm6.0,Blood,iGAS,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105986,1336632,101,33,34.6,73
NGAS623,SRR1105988,Canada,North America,A-C3,ST28,1,2010-2013,1,emm1.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105988,1336632,101,33,34.3,73
NGAS625,SRR1105989,Canada,North America,E4,ST188,95,2012,114,emm114.0,Soft Tissue,ND,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105989,1336632,101,33,34.2,73
NGAS628,SRR1105990,Canada,North America,E3,ST62,4,2012,87,emm87.0,Blood,iGAS,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105990,1336632,101,33,34.3,73
NGAS629,SRR1105991,Canada,North America,D4,ST5,24,2010-2013,83,emm83.1,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105991,1336632,101,33,34.5,73
NGAS630,SRR1105992,Canada,North America,E3,ST62,4,2012,87,emm87.0,Soft Tissue,ND,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105992,1336632,101,33,34.6,73
NGAS633,SRR1105993,Canada,North America,D4,ST853,24,2010-2013,83,emm83.1,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105993,1336632,101,33,33.8,73
NGAS634,SRR1105994,Canada,North America,E3,ST62,4,2012,87,emm87.0,Blood,iGAS,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105994,1336632,101,33,34,73
NGAS638,SRR1105995,Canada,North America,D4,ST182,18,2012,101,emm101.0,Blood,iGAS,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105995,1336632,101,33,35.2,73
NGAS639,SRR1105996,Canada,North America,E6,ST172,22,2012,59,emm59.0,Other,iGAS,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105996,1336632,101,33,34.6,73
NGAS640,SRR1105997,Canada,North America,E6,ST404,5,2010-2013,11,emm11.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1105997,1336632,101,33,35,73
NGAS641,SRR1105998,Canada,North America,E4,ST188,95,2012,114,emm114.0,Soft Tissue,ND,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1105998,1336632,101,33,34.9,73
NGAS643,SRR1106000,Canada,North America,D4,ST853,24,2010-2013,83,emm83.1,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1106000,1336632,101,33,35,73
NGAS650,SRR1106001,Canada,North America,A-C5,ST315,2,2010-2013,3,emm3.6,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1106001,1336632,101,33,35.1,73
NGAS653,SRR1106002,Canada,North America,E4,ST458,10,2010-2013,28,emm28.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1106002,1336632,101,33,34.9,73
NGAS655,SRR1106003,Canada,North America,D4,ST853,24,2010-2013,83,emm83.1,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1106003,1336632,101,33,34.9,73
NGAS657,SRR1106004,Canada,North America,A-C3,ST28,1,2010-2013,1,emm1.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1106004,1336632,101,33,35.1,73
NGAS660,SRR1106005,Canada,North America,E4,ST101,3,2010-2013,89,emm89.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1106005,1336632,101,33,34.9,73
NGAS662,SRR1106006,Canada,North America,E3,ST62,4,2010-2013,87,emm87.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1106006,1336632,101,33,34.6,73
NGAS663,SRR1106007,Canada,North America,E4,ST101,3,2010-2013,89,emm89.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1106007,1336632,101,33,34.8,73
NGAS664,SRR1106008,Canada,North America,M74,ST120,9,2010-2013,74,emm74.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1106008,1336632,101,33,34.6,73
NGAS665,SRR1106009,Canada,North America,E3,ST62,4,2010-2013,87,emm87.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1106009,1336632,101,33,34.6,73
NGAS668,SRR1106010,Canada,North America,E3,ST62,4,2010-2013,87,emm87.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1106010,1336632,101,33,35.1,73
NGAS669,SRR1106011,Canada,North America,E3,ST62,4,2010-2013,87,emm87.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1106011,1336632,101,33,35.1,73
NGAS670,SRR1106012,Canada,North America,E1,ST39,14,2010-2013,4,emm4.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1106012,1336632,101,33,34.8,73
NGAS671,SRR1106013,Canada,North America,E4,ST55,45,2010-2013,2,emm2.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1106013,1336632,101,33,34.7,73
NGAS673,SRR1106015,Canada,North America,E4,ST101,3,2010-2013,89,emm89.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1106015,1336632,101,33,34.6,73
NGAS675,SRR1106016,Canada,North America,E1,ST39,14,2010-2013,4,emm4.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1106016,1336632,101,33,34.9,73
NGAS717,SRR1106017,Canada,North America,E2,ST82,33,2010-2013,92,emm92,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1106017,1336632,101,33,34.9,73
NGAS719,SRR1106018,Canada,North America,E2,ST144,291,2010-2013,90,emm90.5,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1106018,1336632,101,33,34.8,73
NGAS726,SRR1106019,Canada,North America,E2,ST894,161,2010-2013,68,emm68.3,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1106019,1336632,101,33,34.9,73
NGAS729,SRR1106020,Canada,North America,E6,ST89,87,2010-2013,94,emm94.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1106020,1336632,101,33,34.7,73
NGAS732,SRR1106021,Canada,North America,E6,ST89,87,2010-2013,94,emm94.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1106021,1336632,101,33,35.1,73
NGAS737,SRR1106022,Canada,North America,E1,ST39,14,2010-2013,4,emm4.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1106022,1336632,101,33,34.9,73
NGAS739,SRR1106023,Canada,North America,E3,ST62,4,2013,87,emm87.0,Blood,iGAS,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1106023,1336632,101,33,34.9,73
NGAS743,SRR1106024,Canada,North America,E3,ST62,4,2013,87,emm87.0,Soft Tissue,ND,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1106024,1336632,101,33,34.7,73
NGAS746,SRR1106025,Canada,North America,E1,ST39,14,2013,4,emm4.0,Synovial Fluid,iGAS,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1106025,1336632,101,33,34.7,73
NGAS747,SRR1106026,Canada,North America,E3,ST62,4,2013,87,emm87.0,Blood,iGAS,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1106026,1336632,101,33,34.7,73
NGAS749,SRR1106027,Canada,North America,A-C4,ST36,0,2013,12,emm12.0,Blood,iGAS,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1106027,1336632,101,33,34.6,73
NGAS750,SRR1106028,Canada,North America,A-C3,ST28,1,2013,1,emm1.0,Other,iGAS,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1106028,1336632,101,33,34.8,73
NGAS751,SRR1106029,Canada,North America,D2,ST135,203,2010-2013,115,emm115.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1106029,1336632,101,33,34.9,73
NGAS755,SRR1106030,Canada,North America,D4,ST182,18,2013,101,emm101.0,Soft Tissue,ND,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1106030,1336632,101,33,34.8,73
NGAS757,SRR1106031,Canada,North America,E3,ST334,7,2013,82,emm82.0,Soft Tissue,ND,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1106031,1336632,101,33,34.5,73
NGAS758,SRR1106032,Canada,North America,E1,ST39,14,2013,4,emm4.0,Soft Tissue,ND,1,Athey et al 2016 (97),,NA,NA,NA,NA,NA,,SRR1106032,1336632,101,33,34.7,73
NGAS759,SRR1106033,Canada,North America,E1,ST39,14,2010-2013,4,emm4.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1106033,1336632,101,33,34.4,73
NGAS760,SRR1106034,Canada,North America,E1,ST39,14,2010-2013,4,emm4.0,ND,ND,1,Athey et al 2014 (60),,NA,NA,NA,NA,NA,,SRR1106034,1336632,101,33,34.9,73
TJ11-001,TJ11-001,China,East Asia,A-C4,ST36,0,2011,12,emm12.0,Throat,Scarlet fever,0,You et al 2018 (25),,CP028148.1,1,1939844,1939844,-,,-,969900,150,33,36.4,79
AP1,AP1_M1,Czech_Republic,Central Europe,A-C3,ST28,1,ND,1,emm1.0,Blood,Bacteremia,1,Fiebig et al 2014 (98),,CP007537.1,1,1908294,1908294,-,,-,1908596,100,33,33,103
33022V1T1,7622_7_50,Fiji,Oceania ,E3,ST320,26,2006,82,emm82.1,Throat,Pharyngitis,0,Lees et al 2016 (26),,GCA_900992505,28,1772837,143627,261,,ERS086658,1350000,100,33,35.6,73
33042V1T1,7622_7_52,Fiji,Oceania ,M14,ST118,121,2006,14,emm14.4,Throat,Pharyngitis,0,Lees et al 2016 (26),,GCA_900992515,21,1725857,136877,276,,ERS086660,1350000,100,33,35.6,73
33076V1T1,7622_7_61,Fiji,Oceania ,E4,ST1013,52,2006,232,emm232.1,Throat,Pharyngitis,0,Lees et al 2016 (26),,GCA_900992525,32,1712538,148827,259,,ERS086669,1350000,100,33,35.6,73
33087V1T1,7622_7_64,Fiji,Oceania ,E3,ST176,16,2006,58,emm58.0,Throat,Pharyngitis,0,Lees et al 2016 (26),,GCA_900992535,21,1805667,198977,249,,ERS086672,1350000,100,33,35.9,73
33100V1T1,7622_7_67,Fiji,Oceania ,D1,ST990,8,2006,54,emm54.1,Throat,Pharyngitis,0,Lees et al 2016 (26),,GCA_900992545,26,1736090,143900,251,,ERS086675,1350000,100,33,35.5,73
33101V1T1,7622_7_68,Fiji,Oceania ,D4,ST1060,39,2006,33,emm33.0,Throat,Pharyngitis,0,Lees et al 2016 (26),,GCA_900992575,18,1750932,222390,248,,ERS086676,1350000,100,33,35.4,73
33112V1T1,7622_7_71,Fiji,Oceania ,E6,ST1024,89,2006,42,emm42.0,Throat,Pharyngitis,0,Lees et al 2016 (26),,GCA_900992555,17,1734058,239751,247,,ERS086679,1350000,100,33,35.7,73
33124V1T1,7622_7_72,Fiji,Oceania ,E6,ST129,20,2006,65,emm65.4,Throat,Pharyngitis,0,Lees et al 2016 (26),,GCA_900992585,23,1741695,182831,263,,ERS086680,1350000,100,33,35.6,73
33129V1T1,7622_7_73,Fiji,Oceania ,E6,ST1078,72,2006,75,emm75.1,Throat,Pharyngitis,0,Lees et al 2016 (26),,GCA_900992565,21,1821949,220315,250,,ERS086681,1350000,100,33,35.4,73
33131V1T1,7622_7_74,Fiji,Oceania ,E4,ST1013,52,2006,232,emm232.1,Throat,Pharyngitis,0,Lees et al 2016 (26),,GCA_900992595,31,1709449,152809,261,,ERS086682,1350000,100,33,35.9,73
33133V1T1,7622_7_75,Fiji,Oceania ,D2,ST318,23,2006,71,emm71.0,Throat,Pharyngitis,0,Lees et al 2016 (26),,GCA_900992605,32,1722533,194347,263,,ERS086683,1350000,100,33,35.8,73
33140V1T1,7622_7_77,Fiji,Oceania ,D4,ST963,58,2006,86,emm86.2,Throat,Pharyngitis,0,Lees et al 2016 (26),,GCA_900992615,27,1758997,143578,260,,ERS086685,1350000,100,33,35.9,73
33149V1T1,7622_7_80,Fiji,Oceania ,E4,ST572,27,2006,77,emm77.0,Throat,Pharyngitis,0,Lees et al 2016 (26),,GCA_900992635,25,1733532,140207,264,,ERS086688,1350000,100,33,35.7,73
33167V1T1,7622_7_85,Fiji,Oceania ,D4,ST10,255,2006,230,emm230.0,Throat,Pharyngitis,0,Lees et al 2016 (26),,GCA_900992625,15,1759834,277810,256,,ERS086693,1350000,100,33,35.8,73
33173V1T1,7622_7_87,Fiji,Oceania ,D2,ST318,23,2006,71,emm71.0,Throat,Pharyngitis,0,Lees et al 2016 (26),,GCA_900992645,34,1764064,196578,255,,ERS086695,1350000,100,33,35.8,73
33181V1T1,7622_7_89,Fiji,Oceania ,E5,ST268,38,2006,137,emm137.0,Throat,Pharyngitis,0,Lees et al 2016 (26),,GCA_900992665,24,1805772,213856,256,,ERS086697,1350000,100,33,35.7,73
